,name,id,genres
147,Bush,78SHxLdtysAXgywQ4vE0Oa,"['alternative metal', 'alternative rock', 'grunge', 'nu metal', 'pop rock', 'post-grunge', 'rock']"
148,Rainbow Kitten Surprise,4hz8tIajF2INpgM0qzPJz2,['pov: indie']
149,Lexu's,1kwoDwNdms9PgK1V2QLA9A,"['musica andorra', 'rock catala']"
150,Ronny Jordan,32WK2OuP2PG4r7sH7bUfN9,"['acid jazz', 'smooth jazz']"
151,Why Cue,5PLUeP0AXBzIb4yrN7rQh6,[]
152,Dan Reeder,4pzjm2iMtclScYmoJ7q9tD,['new americana']
153,WMC,25FYbZvWszO4herQMw51zh,[]
154,Jawjaw,6fn0GOhC1o1k4eLH58nwCy,[]
155,Intentional Vibes,5gtNVNylJUg6NfvM0LjLtr,['healing hz']
156,Joy Orbison,0aIpJqqTLf683ojWREc5lg,"['electronica', 'float house', 'future garage', 'uk bass', 'wonky']"
157,Five Star,4toJT7YydhWcrYNgWJK4hW,['new wave pop']
158,Ivan Lopez,5fF8wWYA1BLDide5sXO4tx,[]
159,Muddy Waters,4y6J8jwRAwO4dssiSmN91R,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']"
160,Cause4Concern,66HthUhv66PcraPWOYsUIk,"['darkstep', 'neurofunk']"
161,Black Marble,6Nii4K84ZzBZS8X2MP8c9t,"['chillwave', 'experimental pop', 'grave wave', 'nu gaze']"
162,Orla Gartland,3ajf12ub55b51qcS94d9Co,"['indie pop', 'irish pop']"
163,Billy Porter,3sjUEh7eXUEL5oZLAEZXD4,[]
164,"George ""Tautu"" Archer And The Pagans",3fYqAQ5AITgyu4GFCTNSxF,['vintage hawaiian']
165,D.J. Vanilla,1aP08rbajHKdq73PWTJzPw,['fake']
166,Female Vibes,60mRt5arQTrkLUgRXdLjqV,[]
167,boy pablo,7wbkl3zgDZEoZer357mVIw,"['bedroom pop', 'bergen indie', 'norwegian indie', 'pov: indie']"
168,Please Wait,2f70Y2dW98FPfkO61AGa2E,[]
169,Rehab,1qh1aHXy7LRcb7eyriuJTS,['redneck']
170,Activator,56b0LX6dOgCwQUcXlW0oO9,['classic hardstyle']
171,Wonder Woman,5FqEYjkOywn1iy5CXGQTx4,['theme']
172,Fabiano do Nascimento,5GNLaaEOwaEaXJfK7XnD8j,['samba-jazz']
173,DuRu Tha King,4lIh6Zj97EJMY9KgWPxKDw,['north carolina hip hop']
174,Karina,7kL7lbaqaHIUB3Ol5YU69a,"['mexican rock-and-roll', 'pop romantico', 'ye ye']"
175,Pink Sweat$,1W7FNibLa0O0b572tB2w7t,['bedroom soul']
176,Prolific Wone,25yuMwyuEj5E13ga6t9WQP,[]
177,KALUSH,46rVVJwHWNS7C7MaWXd842,"['ukrainian hip hop', 'ukrainian pop', 'ukrainian viral pop']"
178,Stars As Eyes,7tX9RcCbGuLFROHPL2ri9r,[]
179,Lumidee,1IO0GVa1xjkFMXsg66FiE9,['hip pop']
180,Noah Slee,2inX1svE5swPuIBIJdrFyo,"['indie soul', 'neo r&b']"
181,Kennet Roy,6AcicC9cNIwho2ozDD0Wjd,[]
182,Carl Gershon,7HSXIAxl6xyc2qbreghsG5,[]
183,Jay 305,2l2o6ibYa7h1w4HwaS1uZV,['west coast trap']
184,Antonia,4TLzMoEaUDkcAfIlY3Xhxn,['romanian pop']
185,Matrix & Futurebound,41iVQ05he8SrfIWbZQ58N7,['drum and bass']
186,Gary Wright,3z6Uf5IZkN4TogRpRpgD84,"['album rock', 'classic rock', 'soft rock', 'yacht rock']"
187,Lil Bailey,0ZXdHUPxiJZ6emEcuCPUuV,[]
188,Blind Faith,5GUVj2b1lJ4DolQyHlzyaO,"['blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'mellow gold', 'roots rock', 'singer-songwriter', 'southern rock', 'supergroup', 'symphonic rock']"
189,Kiso,3okpOKUI8vvwAYi4cDoXdZ,['deep tropical house']
190,Everen Maxwell,23kOQsgl3Wmza7ppIaq0SB,['speedrun']
191,The TVC,3rPvm8XwWnYfRS4H3Ql0je,[]
192,Nostalgia 77,3U5oimD8ITVHMJQoxypQPN,"['bboy', 'nu jazz', 'trip hop']"
193,Cariño,7fWD0BSDlixbj6YNQyHTLh,['tontipop']
194,Gheorghe Zamfir,12FFWdcxApUNXV9TljwDpT,"['panpipe', 'romanian folk']"
195,Nia Archives,7BMR0fwtEvzGtK4rNGdoiQ,['modern jungle']
196,Shekinah Glory Ministry,50DI0MpQBOtBO0PFtKVQRx,['gospel']
197,Spoony,6YsfitLMc1v2XJ3So7d3gE,[]
198,MARAUDA,3YLUvWzk9eBm1WrHFlZxM4,"['brostep', 'deathstep', 'dubstep', 'tearout']"
199,Donnie,3fvn4MvWJXwY17wpwnlgJN,[]
200,Isak Danielson,5ie2SvXgvXlTpyqkwLtSd7,['swedish singer-songwriter']
201,Smash Into Pieces,2vhrwzjf9H3icunkVFi9tq,['swedish alternative rock']
202,RYYZN,54YpMpAIJC7FV2toZvVo5f,[]
203,Nino Segarra,7titF03HCJwxZeJ98nMWbK,['salsa']
204,Frank Jaeger,1B5BrkQlPaVSybspkKuASV,[]
205,310babii,4VCriUU9CsPnUvoAsxVk1p,[]
206,Hawthorne Heights,126FigDBtqwS2YsOYMTPQe,"['dayton indie', 'neon pop punk', 'pop punk', 'screamo']"
207,H2O,4mQm8gcXNNyzNQRqYKTKqo,"['hardcore', 'melodic hardcore', 'nyhc', 'punk', 'skate punk', 'straight edge']"
208,Nixer,0uFBWlAXm8kv2dw2q21XGG,['irish post-punk']
209,CINTHIE,764H8zG8sTf5FPHWHW5bvh,"['acid techno', 'float house']"
210,Simon Samaeng,7n4yZSvg16XY22sxvZzKfw,['acoustic chill']
211,Jamaican Reggae Cuts,4OuCe7pcpoympU3BxysSfV,['reggae cover']
212,Roy Bee,7HTzhX7y1EPL4MUPI6kFkh,[]
213,Kyle Andrews,67tNmCzk9teeC1h8FgmqJA,['nashville indie']
214,Aries,3hOdow4ZPmrby7Q1wfPLEy,[]
215,Four Year Strong,0qqxspZOkbN00bu6DaRIrn,"['anthem emo', 'easycore', 'neon pop punk', 'new england emo', 'pop punk', 'screamo', 'worcester ma indie']"
216,SEREBRO,1Ulwacsns9Me7dz4OVwkiQ,['russian pop']
217,Jerome Price,4EREP1nDxGjXE6V4sOuUy8,['deep groove house']
218,The Teenagers,6EU3ei9Aim1yaX6hTJrjXE,[]
219,Lay Bankz,4OVbrPbhvK46A1uXTU1u5F,['jersey club']
220,Larry Owens,3GiqiBdyGgPEvEhSDRgtbb,[]
221,DEVO,0UKfenbZb15sqhfPC6zbt3,"['alternative rock', 'art punk', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synth punk', 'synthpop', 'zolo']"
222,Pristeen,2JzmfMXbib68VSo6nL23qj,[]
223,Mario,20s0P9QLxGqKuCsGwFsp7w,"['dance pop', 'r&b', 'southern hip hop', 'urban contemporary']"
224,SAFE,3bnpcWBcvlfq4hPFJjNPbz,['canadian hip hop']
225,Gene Back,3kEhJRbtYBK36ucJU4KcAp,[]
226,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,"['electropop', 'indie soul', 'nu disco', 'uk dance', 'vapor soul']"
227,Tor Miller,6HCZOENaZRSdEWQVSN8vzL,['nyc pop']
228,Lola Brooke,2Ggj5XNlIb4Lnbqe307FyB,['trap queen']
229,Immortal Technique,7h8ja4JSORo2sXJPmCXRxa,"['conscious hip hop', 'east coast hip hop', 'hardcore hip hop', 'harlem hip hop', 'political hip hop']"
230,Bread,70ZTdbPEcEugBNay4MvxfL,"['folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']"
231,Roy Smeck,0OTnaqFu95LUId84UgBacy,['ukulele']
232,Message To Bears,6MmQrV24zUeieNf027zkh3,"['compositional ambient', 'folktronica']"
233,Willie Jones,5OCZWZ399lBKgxBxE8cjRM,"['black americana', 'contemporary country']"
